"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"AVPR1B","black","AVPR1B","AVPR1B",3.88258834155587e-32,1.28545805451417e-10,0.513426112818193,0.0968059325991545,0.000959804743965944,0.0968817320359986,0.000128624813017687,3.3567490957234e-12,2.73015740325187e-21,0.000107262532691277,0.0644349877232655
"AXIN1","turquoise","AXIN1","AXIN1",0.0290384918135233,8.38911279678e-10,2.43796082729268e-21,0.233520790429683,0.000351048215628794,3.53781852384715e-14,0.068417074837471,7.98344464901563e-06,0.03148451128251,4.18070625751371e-16,9.25400803404529e-18
"AXIN2","brown","AXIN2","AXIN2",2.45515445880876e-06,1.0081785307572e-23,4.39698098279399e-28,0.667555338992506,3.0642675975513e-06,4.89162843603923e-06,0.00589350698518767,0.00926134422748491,0.847591170752353,7.03243637230293e-36,2.50198011390647e-15
"AZI2","black","AZI2","AZI2",8.95485299398157e-15,1.93130145322053e-08,0.236580458430201,0.00526093451001596,0.393752904303965,0.00013610637574682,8.87232783450464e-06,1.63711756799392e-06,1.00295250567835e-12,9.55620589755748e-05,0.41431449015603
"AZIN1","brown","AZIN1","AZIN1",0.0198666032608193,2.55667153291903e-13,2.85926348824453e-41,0.245709483465193,0.000491328565069003,5.65110784453229e-14,0.025419395352354,2.60192706295698e-07,0.02103643324342,1.17526344706424e-23,3.5107053690696e-28
"AZIN2","blue","AZIN2","AZIN2",1.77055334093609e-32,1.50032412976612e-33,1.92832349466556e-06,0.787031346277141,5.96442669886474e-05,0.592439641277738,1.51410085394927e-06,0.00340159669295849,4.95234793425743e-09,6.20008507620265e-18,0.0349898334684032
"B2M","black","B2M","B2M",8.13765902792194e-29,1.81000820696528e-11,0.223140511933143,0.0849491534722192,0.00808995112982278,0.0435032091615508,0.000573341604575554,1.41557915445192e-09,5.44933023465104e-20,9.65209714040457e-06,0.229902221789756
"B3GALNT1","pink","B3GALNT1","B3GALNT1",5.41651263245569e-09,5.99028993791495e-29,2.8890592743587e-21,0.761194435236624,5.32524868513644e-05,7.57825765879541e-05,0.000532603778996373,0.134214341749203,0.215101153822372,3.28838264610789e-35,4.95725105753912e-11
"B3GALNT2","magenta","B3GALNT2","B3GALNT2",7.07477399626809e-05,0.623892586281461,1.14669875234588e-09,0.407399950660151,0.607151081196234,1.2568315879303e-09,0.349858128845186,7.38242955488682e-30,7.32419272635166e-17,0.00461392192947851,6.03914441860208e-19
"B3GALT1","brown","B3GALT1","B3GALT1",2.44249073282994e-05,5.35570994211914e-23,9.38002001227834e-42,0.713689398671924,5.92084193459855e-05,1.06342000971843e-09,0.00253984019049882,0.000588037287792224,0.542498341454473,1.45918952563553e-42,1.5879522189183e-20
"B3GALT2","brown","B3GALT2","B3GALT2",0.292179829404659,7.80782664383883e-09,1.60098194195476e-33,0.848210205592603,0.00212743185699368,1.98449755411071e-13,0.241045661558887,1.65223009351284e-10,0.000513148551028283,1.15886212737129e-16,1.92565628823418e-32
"B3GALT5","turquoise","B3GALT5","B3GALT5",0.871800715326458,4.23830204722346e-05,8.41734174707149e-17,0.0642434664033582,0.000141439496086862,4.54023234675633e-15,0.903329983765646,8.76917484792496e-10,9.52413648741097e-05,2.76510988450121e-09,8.99118864805398e-19
"B3GALT6","blue","B3GALT6","B3GALT6",1.45557972460589e-13,2.71141493381298e-12,0.000661826120461972,0.0534631100710969,0.0317482245443012,0.0369197338093026,1.9195734106501e-05,0.0191719421326887,4.460032676032e-05,1.50056071409901e-08,0.163043084586409
"B3GAT1","brown","B3GAT1","B3GAT1",0.000575496428054537,5.45210364236665e-19,3.66694701911412e-44,0.905337602213391,0.00201163805377619,2.0898883872328e-07,0.000305114099399293,4.75140227948085e-05,0.252702992295369,2.45032582776915e-34,8.63411989178781e-24
