,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
MBD5,1113.2925474406,977.864049852458,1162.28761320702,1059.30282929498,890.094280871984,965.169795455363,921.800958214507,968.778286300771,1093.46678324907,1197.08921095462,1060.40878212178,986.113872872559
LOC113987905,20.2767940123613,9.11053462595458,10.5343288206074,3.05274590574923,10.5336601286625,0.989917738928577,3.12474901089663,7.40332751539891,9.30610028297081,9.24789948376958,5.7683161312155,3.10424094293565
EPC2,719.343406629009,690.376068322336,799.731129631111,802.872173212046,734.196110967779,777.085425058933,720.77543851349,740.332751539891,800.324624335489,765.520568378704,709.502884139507,757.4347900763
KIF5C,9299.32395871676,10661.3500756171,10057.6504414749,11118.1005887387,9427.62581515297,11538.4811649515,9440.90834492236,10121.4063317668,11655.8906044209,11558.8468103249,10919.4224363909,9972.89140267128
LYPD6B,118.764079215259,59.7246158812578,142.2134390782,51.8966803977368,48.4548365918477,123.739717366072,54.162316188875,52.8809108242779,54.9059916695278,102.754438708551,112.482164558702,107.613686021769
LYPD6,192.146762307614,128.55976638847,122.022642172036,146.531803475963,112.710163376689,172.245686573572,160.40378255936,142.77845922555,160.064924867098,175.710090191622,117.289094668049,182.115468652225
MMADHC,2416.80073394954,2729.11126128595,2610.75782604053,2055.51557653781,2346.89947666601,2620.31225494394,2687.2841493711,2526.649919184,2233.46406791299,2072.55702875147,2923.57489250439,2595.14542829421
LOC113987920,2.89668485890876,10.1228162510606,2.63358220515185,7.12307378008153,34.7610784245864,29.6975321678573,5.20791501816105,6.34570929891335,1.86122005659416,8.22035509668407,2.88415806560775,4.13898792391421
ZC3H15,1185.70966891332,1311.91698613746,1230.76075054096,1222.11594426827,1166.07617624294,1266.10478808965,1264.4817664095,1163.38003813411,1278.65817888019,1141.601814052,1275.75925102049,1212.72346170686
ITGAV,909.559045697351,1436.42762602551,1115.76099424933,1042.00393582907,1668.53176438015,1068.12124030393,1286.35500948578,1297.69755162778,978.071139740232,1101.52758295567,1400.7394338635,1196.16751001121
FAM171B,3039.58797861493,4575.51294547941,3397.32104464588,3323.42270939232,4377.78914947215,4500.16604116931,4707.95517641759,4650.347297887,3120.33542488011,3745.39929092668,4616.57567701614,4562.19943913443
LOC113987923,571.612478824662,492.981151426653,566.220174107647,470.122869485381,435.040163313763,521.68664841536,392.676792369344,480.158670284444,533.239546214227,424.375831866315,461.46529049724,477.018358231112
