,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
DEXI,15.6405417615617,57.1853402403188,46.1626373241442,25.6940629995804,32.7239361786075,22.067603961232,39.3497234182408,32.3585984839681,33.1929880171922,28.1194047271607,23.7241701513033,26.2247880660567
CLEC16A,1649.55580445271,1564.79885566691,1674.67789848145,1547.48333974745,1601.75056032131,1297.74486372014,1513.45090070157,1372.47811618587,1235.00807139829,1954.29862853767,1783.83165090038,1362.71769098806
SOCS1,35.4518946595399,40.5496048976806,19.6618640454688,15.1828554088429,29.2793113177014,22.9163579597409,11.0986399384782,42.6186419057141,25.1808874613182,15.2313442272121,35.0213940328763,22.3396342784927
RMI2,1071.89846205903,1006.46198822961,673.632559470846,1280.03150216091,898.185932481253,1254.45840979619,1058.40666322396,898.937650566822,1200.6704975874,820.149304542188,968.172086650806,1085.90048362412
LOC113982708,136.594064717639,171.556020720956,113.696866002059,141.317346497692,85.2544653074248,106.943003812124,166.479599077173,145.219076123174,40.0605027793699,146.455232953962,142.34502090782,133.066517224065
LOC113982710,28.1529751708111,24.9536030139573,5.98404557905573,28.0298869086331,34.4462486090605,16.9750799701785,17.1524435412845,28.4124279371427,16.024201111748,30.4626884544241,31.6322268684044,35.9376725349666
LITAF,1515.04714530328,1865.28182529331,1843.94090200332,1668.9461830182,1617.25137219539,1575.28742123256,1569.9530676611,1555.58042955857,1855.37357158168,1901.57474467425,1754.45886880829,1437.50690139866
SNN,692.354648645132,838.0251678854,709.53683294518,913.307148439629,646.728317635111,627.229204898095,687.106708918513,560.356217649204,1066.75395972494,659.634369224646,678.963155282537,698.356393314621
TXNDC11,1015.59251171741,667.508880623358,827.508017217993,1021.92296021058,1049.74942636112,956.545756319557,742.599908610904,681.898270491426,686.75147621777,859.985127905666,671.055098565436,753.719834787407
ZC3H7A,803.923846544272,736.131288911741,649.696377154623,784.836833441728,742.316657525254,655.238086848889,592.263785807881,807.386493880473,454.400560097425,842.410499951191,668.795653789121,682.815778164365
