,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
HSDL2,248.200279498285,214.758785501082,178.97659680406,199.826267734223,233.447646821633,244.550074843921,259.355634833074,274.683302909115,287.702000052857,213.894281502342,231.620750988263
KIAA1958,1052.26576828961,1029.79456657348,1355.85177695169,1239.13431632016,1383.29174253917,1242.76692838833,1314.48518537887,1424.54369866369,668.511443488516,1015.19972414544,924.189729190793
INIP,680.827155568213,632.752714354409,764.81278285456,707.321550868759,628.019943998589,664.897712387032,693.698204011355,754.877836096947,643.37243377516,741.713006005632,603.131262474388
SNX30,1214.28539518432,954.367090690176,1145.65833186785,991.730365792072,1253.29344509339,968.627164773255,1006.17487248494,985.451411531606,1006.49146296809,1023.71292937937,1041.14674206605
LOC113982280,1506.43780751043,1575.59616289575,1546.27455145834,1777.29077281074,1726.59710551216,1678.77969528087,1560.30016457809,1610.00505281766,1128.46221379956,1715.41085463569,1606.43897096315
LOC113982226,1550.38994033825,1744.26037980147,1771.03585907274,1585.92275979542,2079.97275913235,2006.00684169124,1777.99224361469,1886.69334333925,918.970466188253,1847.36553576152,1506.68151880484
KCNN2,533.458239616106,582.467730432204,624.336965595559,507.495283134536,640.83667754958,522.170978314423,657.242592689437,641.596035992093,503.711268700957,509.728163381202,509.106997221727
TRIM36,21.5451631508928,13.6188498122638,22.8923554051705,29.6038915161812,14.6476954868476,24.3679789880064,15.6238334236792,13.0324194810894,9.31074433828017,11.7056571966456,16.0529233358202
PGGT1B,234.411375081714,269.234184750138,251.815909456876,194.539858534905,216.968989398929,220.182095855915,236.440679145011,253.630932978124,234.63075732466,213.894281502342,209.834640746793
CCDC112,179.255757415428,248.282108115886,203.950075427883,244.232105008495,244.433418436769,251.51235455478,245.814979199219,228.568587822183,158.282653750763,249.011253092278,207.541365984533
LOC113982239,233.549568555678,552.087219312539,358.993755217447,527.583638091944,512.669342039664,496.062429398702,470.798180500199,431.072336682188,270.942660243953,515.048916652405,626.064010096989
FEM1C,308.526736320785,655.799998652086,486.982833164536,672.43125015326,697.596497561115,652.713722893029,648.909881530141,621.54615986734,244.872576096768,731.071499463227,671.929505342189
ALDH7A1,681.688962094249,988.938017136692,700.297963076352,857.455572129393,825.763833071031,652.713722893029,700.989326275739,707.760627203778,866.830297893884,592.731914411961,615.744273666819
GRAMD2B,33.6104545153928,48.1897762587795,27.0546018424742,27.489327836454,20.1405812944154,40.0331083374391,41.6635557964778,41.1022460557435,27.0011585810125,40.4377248611392,21.7861102414703
ZNF608,221.484277191178,336.280829979744,318.411852453735,299.210760681403,230.701203917849,312.432302024796,336.433213056558,285.710734777729,200.181003273024,314.98859365519,329.084928384315
CSNK1G3,328.348286419607,304.852715028366,313.209044407106,268.549587325358,272.813328442536,281.102043325931,339.557979741294,287.715722390204,277.460181280749,346.913113282405,302.712268618324
CEP120,739.429999338642,984.747601809841,744.001550668042,586.791421124307,584.076857538046,617.902324338734,821.813638085524,672.67334398546,337.98001947957,1031.16198395905,1135.17100731872
PPIC,477.440815423785,543.706388658838,419.346328558351,508.552564974399,534.640885269936,496.932714362559,435.384158073193,567.411494330507,708.547644143121,486.316848987911,595.104800806478
SNX24,404.187260710749,344.661660633444,351.709823952165,376.392334991447,433.022497829931,375.092819422527,360.389757639533,394.982559657632,384.533741170971,395.864043377468,438.015479591666
SNX2,1165.16242320028,1235.12491758915,1227.8626990046,1240.19159816002,1181.88592959501,1383.75309253322,1159.28844003699,1373.41651454557,1419.88851158773,1302.52040079038,1424.12362736348
SNCAIP,306.803123268714,323.709583999193,275.748826471372,238.945695809177,331.404110389926,254.99349441021,296.852835049904,186.463847960202,280.253404582233,276.679170102531,230.474113607133
LOX,62.911876400607,81.7130988735826,90.5288600113561,59.2077830323625,62.2527058191021,64.4010873254455,113.533189545402,87.2169611426752,112.66000649319,71.2980938341139,60.7717811998908
SRFBP1,617.915279167606,721.799040049979,672.202799624552,679.832223032305,681.117840138411,644.010873254455,670.783248323292,688.713244885262,612.646977458835,710.852637032658,716.64836320626
PRR16,526.563787407821,656.847602483798,659.716060312641,580.447730085125,620.696096255165,715.37424029076,620.786981367519,601.496283742587,430.156388428544,697.018678527531,598.544712949868
PPP2R2A,942.81633948307,888.368049292282,870.950067005805,914.548791482028,877.030767274997,886.820378170662,871.809905041298,928.30926457606,928.281210526533,859.833728626328,819.845727507961
BNIP3L,3348.98016017478,2616.91437161807,2681.52726723293,2906.46777778508,3292.98504163692,3309.69371754958,2762.29374930648,2828.0350273964,2595.83552151251,2890.23317691721,3117.70703929251
LOC113982287,6.8944522082857,7.33322682198818,20.8112321865186,16.9165094378179,3.66192387171189,11.3137045301458,12.4990667389433,9.02244425613881,1.86214886765603,8.51320523392404,4.58654952452006
LOC113982289,11.2034848384643,7.33322682198818,5.20280804662966,12.6873820783634,10.9857716151357,8.70284963857372,6.24953336947167,4.00997522495058,0.931074433828017,11.7056571966456,12.6130111924302
ASB8,176.670337837321,200.092331857106,200.828390599905,160.70683965927,177.603307778027,246.290644771636,196.860301138358,175.436416091588,222.526789684896,151.109392902152,223.594289320353
LOC113982295,6.8944522082857,75.427475883307,74.9204358714671,0,22.8870241981993,26.9788338795785,48.9546780608614,47.1172088931693,100.556038853426,38.3094235526582,32.1058466716404
LOC113982296,293.876025378178,333.138018484606,547.33540650544,374.27777131172,570.344643019127,407.29336308525,508.295380717029,403.002510107534,536.298873884938,394.799892723227,355.457588150305
LOC113982297,12.0652913645,7.33322682198818,7.28393126528153,8.45825471890893,3.66192387171189,6.0919947470016,3.12476668473583,8.01995044990116,0.931074433828017,10.6415065424051,1.14663738113002
LOC113982298,143.059883321928,68.0942490613188,135.273009212371,53.9213738330444,52.1824151718944,89.6393512773093,82.2855226980436,118.294269136042,74.4859547062413,78.7471484137974,61.9184185810209
PRXL2C,531.734626564035,399.1370598825,610.809664674322,514.896256013581,343.305362972989,403.81222322982,291.644890575345,668.66336876051,719.720537349057,691.697925256328,382.976885297425
