"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"LIMD1",225.209386080881,0.568150685925759,0.28241917422458,4.14504926734247,0.0417564401583166,1.1523109218653e-14,"LIMD1","LIMD1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113982172",873.670762068552,0.757795143082431,0.326573642476594,5.21082758207882,0.0224466476577569,1.1523109218653e-14,"PODXL","LOC113982172 (PODXL)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113982204",6.68401996923476,2.11360827402011,1.14087010582126,3.52502291006704,0.060448989821508,1.1523109218653e-14,"LOC113982204","LOC113982204",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113982292",12.1218750248771,-2.78358052271697,1.36121872109108,4.17593955857421,0.0410018226899357,1.1523109218653e-14,"RNF212B","LOC113982292 (RNF212B)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113982695",5.85485922760178,-2.7777952082094,1.473203652902,3.81702195291305,0.0507343362539669,1.1523109218653e-14,"TNFAIP8L1","LOC113982695 (TNFAIP8L1)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113983089",36.4638329899722,2.53070329189399,1.14006880844579,4.80037980999899,0.0284534635700805,1.1523109218653e-14,"LOC113983089","LOC113983089",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113983768",27.7581197194156,7.63161141396948,1.94759349888232,17.462858227171,2.9297591017571e-05,1.1523109218653e-14,"SMURF1","LOC113983768 (SMURF1)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113983852",27.3027916090271,1.3940686965533,0.658371188177426,4.61798016855084,0.0316384731307201,1.1523109218653e-14,NA,"LOC113983852",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113984017",36.5475552657816,-2.55633916589535,0.921614075089799,5.68743839141739,0.0170867790546681,1.1523109218653e-14,"HAUS5","LOC113984017 (HAUS5)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113984021",354.794300362251,-0.986892989281422,0.478819788534461,3.99036811961528,0.0457610655034724,1.1523109218653e-14,NA,"LOC113984021",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113984024",152.244076075896,-1.32207649595998,0.565631197047127,5.52441948984307,0.0187528243918597,1.1523109218653e-14,"ESCO2","LOC113984024 (ESCO2)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113984936",73.8434921671973,-0.682460811753441,0.338480400652803,4.05042541855107,0.0441602149111125,1.1523109218653e-14,"SKIV2L","LOC113984936 (SKIV2L)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113985012",10.4587154945015,-2.69900747682015,1.1734346189596,5.1243154161453,0.0235928752966544,1.1523109218653e-14,"LOC113985012","LOC113985012",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113985615",297.974306119505,-1.00372389066234,0.499202179694003,3.75339462591788,0.0527003798476978,1.1523109218653e-14,"ESX1","LOC113985615 (ESX1)",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"LOC113985673",6.66559446195417,2.6130734066149,1.36424597073716,3.875798579879,0.0489870000721193,1.1523109218653e-14,"LOC113985673","LOC113985673",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
